date,frcc,tocc,trdval,finval
20030331,AU,TR,5830274.0,5830274.0
20030331,AU,MX,-19713940.0,-19713940.0
20030331,SE,CL,21487566.0,21487566.0
20030331,NL,CZ,157152317.0,157152317.0
20030331,DK,EE,-4380930.0,-4380930.0
20030331,BE,NO,-275233408.0,-275233408.0
20030331,FR,CZ,156607252.0,156607252.0
20030331,IT,BE,-1023470049.0,-1023470049.0
20030331,LU,IE,-11425080.0,-11425080.0
20030331,FR,LU,-21008390.0,-21008390.0
20030331,CH,ES,310860286.0,310860286.0
20030331,IT,LU,-182143676.0,-182143676.0
20030331,SE,IT,238328766.0,238328766.0
20030331,GR,IE,-73192279.0,-73192279.0
20030331,AT,LU,-6330201.0,-6330201.0
20030331,FR,SI,85812621.0,85812621.0
20030331,ES,PL,184763333.0,184763333.0
20030331,PT,GR,16185456.0,16185456.0
20030331,AU,LV,1413061.0,1413061.0
20030331,FR,GB,1642507341.0,1642507341.0
20030331,IE,PL,19994206.0,19994206.0
20030331,US,BE,1321700000.0,1321700000.0
20030331,PT,EE,-4406209.0,-4406209.0
20030331,SE,PT,58640622.0,58640622.0
20030331,DK,SE,375019743.0,375019743.0
20030331,ES,SK,67278319.0,67278319.0
20030331,ES,CH,-357021762.0,-357021762.0
20030331,KR,US,1618588647.0,1618588647.0
20030331,SE,DE,-1122054944.0,-1122054944.0
20030331,NL,EE,17633787.0,17633787.0
20030331,JP,CZ,77135037.0,77135037.0
20030331,GR,BE,-334730976.0,-334730976.0
20030331,CH,IT,-318950199.0,-318950199.0
20030331,JP,DE,620756689.0,620756689.0
20030331,CH,GR,171538490.0,171538490.0
20030331,AT,ES,316791306.0,316791306.0
20030331,NL,IL,-66408460.0,-66408460.0
20030331,BE,DK,204584478.0,204584478.0
20030331,FR,FI,-181981768.0,-181981768.0
20030331,PT,GB,193326727.0,193326727.0
20030331,AT,TR,-11150193.0,-11150193.0
20030331,SE,EE,-18059739.0,-18059739.0
20030331,IT,IL,77955553.0,77955553.0
20030331,KR,DK,-35678905.0,-35678905.0
20030331,SE,AT,-8868822.0,-8868822.0
20030331,NO,ES,180862311.0,180862311.0
20030331,BE,IE,-2186930025.0,-2186930025.0
20030331,DE,LU,160507689.0,160507689.0
20030331,TR,CA,10072122.0,10072122.0
20030331,PT,SI,-3062675.0,-3062675.0
20030331,DK,FR,233008797.0,233008797.0
20030331,FR,NO,-1207479833.0,-1207479833.0
20030331,BE,EE,12178499.0,12178499.0
20030331,JP,TR,233544698.0,233544698.0
20030331,CH,LU,-8670245.0,-8670245.0
20030331,GB,IL,84328577.0,84328577.0
20030331,NL,AT,721008211.0,721008211.0
20030331,DE,CA,870333923.0,870333923.0
20030331,AT,MX,27684077.0,27684077.0
20030331,CH,SI,19900495.0,19900495.0
20030331,KR,IE,-33489290.0,-33489290.0
20030331,AT,AU,141877781.0,141877781.0
20030331,PT,DK,9104576.0,9104576.0
20030331,FI,IT,55156870.0,55156870.0
20030331,DK,LV,-4205844.0,-4205844.0
20030331,CH,JP,390927723.0,390927723.0
20030331,BE,FI,13012599.0,13012599.0
20030331,CH,LV,16525804.0,16525804.0
20030331,IT,NL,-2308923113.0,-2308923113.0
20030331,NO,IE,27090620.0,27090620.0
20030331,NL,SE,127772046.0,127772046.0
20030331,MX,FR,-397381340.0,-397381340.0
20030331,LU,SI,2826284.0,2826284.0
20030331,FI,SI,2092933.0,2092933.0
20030331,PT,NL,-215297045.0,-215297045.0
20030331,AU,AT,-96946233.0,-96946233.0
20030331,SE,JP,-7872068.0,-7872068.0
20030331,NL,PT,318030699.0,318030699.0
20030331,CA,EE,-4840437.0,-4840437.0
20030331,JP,IE,-441092882.0,-441092882.0
20030331,CA,HU,-24123056.0,-24123056.0
20030331,CL,AU,-10316897.0,-10316897.0
20030331,CL,CA,-34757517.0,-34757517.0
20030331,FI,DE,-146864846.0,-146864846.0
20030331,CH,CZ,-2993569.0,-2993569.0
20030331,DK,JP,406477628.0,406477628.0
20030331,IE,IL,45082212.0,45082212.0
20030331,NO,GR,52922657.0,52922657.0
20030331,ES,NL,-1007909108.0,-1007909108.0
20030331,JP,DK,-290750300.0,-290750300.0
20030331,TR,DK,31328150.0,31328150.0
20030331,BE,CH,420522159.0,420522159.0
20030331,BE,SI,39603281.0,39603281.0
20030331,NO,BE,331781374.0,331781374.0
20030331,AT,JP,-32184123.0,-32184123.0
20030331,GB,ES,225699518.0,225699518.0
20030331,ES,FI,-225230201.0,-225230201.0
20030331,IE,GR,66326435.0,66326435.0
20030331,DK,KR,-210090330.0,-210090330.0
20030331,SE,SK,1849854.0,1849854.0
20030331,DE,CH,1482469125.0,1482469125.0
20030331,JP,SE,-89678707.0,-89678707.0
20030331,AU,IT,-341565910.0,-341565910.0
20030331,BE,GR,309052483.0,309052483.0
20030331,PT,IE,-30781815.0,-30781815.0
20030331,DE,IL,308992436.0,308992436.0
20030331,IE,LV,-5047890.0,-5047890.0
20030331,US,GB,-1716600000.0,-1716600000.0
20030331,DE,US,8380032265.0,8380032265.0
20030331,LU,JP,-19022371.0,-19022371.0
20030331,NO,SI,-6781445.0,-6781445.0
20030331,AT,GR,107996180.0,107996180.0
20030331,CA,SE,-280278321.0,-280278321.0
20030331,GR,TR,-70785905.0,-70785905.0
20030331,PT,TR,-47901270.0,-47901270.0
20030331,AU,DK,-103759576.0,-103759576.0
20030331,TR,IE,-36943843.0,-36943843.0
20030331,LU,US,6222560.0,6222560.0
20030331,DE,SE,1229435598.0,1229435598.0
20030331,LU,FI,24117765.0,24117765.0
20030331,IE,DE,544810976.0,544810976.0
20030331,FI,JP,-32154396.0,-32154396.0
20030331,DE,DK,346589848.0,346589848.0
20030331,AU,IL,-64377380.0,-64377380.0
20030331,CH,MX,103877610.0,103877610.0
20030331,TR,KR,-217290952.0,-217290952.0
20030331,FI,KR,58103284.0,58103284.0
20030331,IE,CA,4655916.0,4655916.0
20030331,TR,NO,-80843418.0,-80843418.0
20030331,GR,CA,-3468114.0,-3468114.0
20030331,CH,AT,-55455390.0,-55455390.0
20030331,DK,IL,13858012.0,13858012.0
20030331,DE,SI,3315012.0,3315012.0
20030331,CA,NO,-705396909.0,-705396909.0
20030331,LU,GR,14014014.0,14014014.0
20030331,PT,US,219489444.0,219489444.0
20030331,AU,JP,745300804.0,745300804.0
20030331,ES,KR,-457292669.0,-457292669.0
20030331,GR,LV,796220.0,796220.0
20030331,TR,IL,123957379.0,123957379.0
20030331,CH,IL,17889682.0,17889682.0
20030331,CH,NL,-435445482.0,-435445482.0
20030331,FR,BE,-1906477177.0,-1906477177.0
20030331,JP,AT,62678304.0,62678304.0
20030331,BE,MX,84274793.0,84274793.0
20030331,CH,KR,94937636.0,94937636.0
20030331,KR,CL,-111976510.0,-111976510.0
20030331,US,CZ,-172100000.0,-172100000.0
20030331,IE,SI,8195398.0,8195398.0
20030331,JP,PT,113303330.0,113303330.0
20030331,TR,SE,-80212673.0,-80212673.0
20030331,NO,CZ,13097792.0,13097792.0
20030331,AU,NO,-15274382.0,-15274382.0
20030331,SE,SI,23364244.0,23364244.0
20030331,GR,HU,-12856011.0,-12856011.0
20030331,KR,DE,-487523734.0,-487523734.0
20030331,GB,DK,-89253041.0,-89253041.0
20030331,ES,CZ,-10542502.0,-10542502.0
20030331,GR,EE,1578642.0,1578642.0
20030331,SE,ES,373917842.0,373917842.0
20030331,CA,CH,-156099552.0,-156099552.0
20030331,GB,IT,-1002859841.0,-1002859841.0
20030331,DE,KR,139859912.0,139859912.0
20030331,GR,CH,-127844604.0,-127844604.0
20030331,CL,DK,200874.0,200874.0
20030331,CL,DE,-18489558.0,-18489558.0
20030331,LU,MX,2601746.0,2601746.0
20030331,CL,SE,-19662668.0,-19662668.0
20030331,KR,GB,333696579.0,333696579.0
20030331,CA,LV,1172952.0,1172952.0
20030331,GB,CL,-185733815.0,-185733815.0
20030331,DE,LV,82781930.0,82781930.0
20030331,IE,IT,627563635.0,627563635.0
20030331,TR,US,177901895.0,177901895.0
20030331,CH,NO,47354295.0,47354295.0
20030331,FI,BE,95197608.0,95197608.0
20030331,DK,CZ,14530867.0,14530867.0
20030331,IE,CZ,-30451089.0,-30451089.0
20030331,PT,MX,-13141256.0,-13141256.0
20030331,ES,AU,49345192.0,49345192.0
20030331,TR,BE,-128975967.0,-128975967.0
20030331,NO,GB,3183955618.0,3183955618.0
20030331,BE,LU,808961184.0,808961184.0
20030331,CL,CH,-24512453.0,-24512453.0
20030331,FR,NL,-3030361454.0,-3030361454.0
20030331,DE,FI,179172892.0,179172892.0
20030331,PT,SE,-21453266.0,-21453266.0
20030331,JP,GR,379032017.0,379032017.0
20030331,IE,US,2646323206.0,2646323206.0
20030331,DK,SK,-5426964.0,-5426964.0
20030331,IT,GR,1107658090.0,1107658090.0
20030331,FI,HU,54343231.0,54343231.0
20030331,CA,GB,-684802200.0,-684802200.0
20030331,FR,CA,169720516.0,169720516.0
20030331,MX,CH,-158916360.0,-158916360.0
20030331,US,HU,-424900000.0,-424900000.0
